site,station,segment,spatial_location_index,x_mm,y_mm,velocity_mm_s,point_count,deviation_mm
wujiaochang,Wujiaochang,2,61,99147.94386,-567207.8653,1277.882702,13,86.98179363
wujiaochang,Wujiaochang,2,62,99349.88652,-567153.274,1171.195289,11,119.3771061
wujiaochang,Wujiaochang,2,63,98711.7849,-567103.851,1344.528865,14,510.6858383
wujiaochang,Wujiaochang,2,64,98819.985,-567055.7693,1306.175735,15,398.2533519
wujiaochang,Wujiaochang,2,65,98858.32205,-567003.62,1339.003653,16,354.9369243
wujiaochang,Wujiaochang,2,66,98718.25253,-566956.0062,1307.161333,17,489.5992128
wujiaochang,Wujiaochang,2,67,98763.2737,-566902.5862,1298.133975,15,439.5048798
wujiaochang,Wujiaochang,2,68,98738.96411,-566851.1791,1306.465557,16,458.6008565
wujiaochang,Wujiaochang,2,69,98585.41277,-566793.6751,1193.922681,20,605.6970722
wujiaochang,Wujiaochang,2,70,98820.80286,-566727.0304,1338.208201,25,364.8616168
wujiaochang,Wujiaochang,2,71,98778.68655,-566673.2573,1323.117343,20,401.4412133
wujiaochang,Wujiaochang,2,72,99013.30011,-566622.596,1334.439828,21,162.9627427
wujiaochang,Wujiaochang,2,73,98871.65761,-566567.239,1411.907024,13,298.4217609
wujiaochang,Wujiaochang,2,74,98756.71801,-566514.273,1309.046323,19,407.5465825
wujiaochang,Wujiaochang,2,75,98587.1233,-566457.5695,1246.692611,52,570.6865467
wujiaochang,Wujiaochang,2,76,98209.60588,-566420.0745,1208.242789,39,942.630001
wujiaochang,Wujiaochang,2,77,99145.29758,-566358.4899,1455.488586,23,5.504711968
wujiaochang,Wujiaochang,2,78,99070.34182,-566311.6259,1398.57239,32,75.38761148
wujiaochang,Wujiaochang,2,79,99435.00214,-566262.3345,1539.480222,18,292.3665004
wujiaochang,Wujiaochang,2,80,98684.95464,-566215.9399,1279.626174,18,449.3915208
wujiaochang,Wujiaochang,2,81,99157.04725,-566167.6272,1525.139569,19,25.16558452
wujiaochang,Wujiaochang,2,82,98930.9865,-566108.0583,1519.593736,17,193.8796813
wujiaochang,Wujiaochang,2,83,99307.87252,-566057.1585,1538.000939,14,186.1978085
wujiaochang,Wujiaochang,2,84,98720.76261,-566003.3613,1434.168688,15,392.6931299
wujiaochang,Wujiaochang,2,85,98688.35879,-565953.5475,1436.256337,21,420.0009236
wujiaochang,Wujiaochang,2,86,98708.07441,-565892.8892,1454.16088,15,394.370663
wujiaochang,Wujiaochang,2,87,98937.88451,-565840.0962,1561.996848,17,160.4606611
wujiaochang,Wujiaochang,2,88,99148.80881,-565801.5468,1699.291883,30,53.25507967
wujiaochang,Wujiaochang,2,89,98775.88414,-565741.4648,1460.820763,14,311.8885257
wujiaochang,Wujiaochang,2,90,98664.56334,-565681.794,1424.080779,9,416.74778
wujiaochang,Wujiaochang,2,91,99121.31272,-565645.227,1717.10625,14,41.38433665
wujiaochang,Wujiaochang,2,92,98992.67284,-565588.4017,1627.263346,10,80.99977165
wujiaochang,Wujiaochang,2,93,98968.13734,-565538.6725,1633.009264,13,100.4855732
wujiaochang,Wujiaochang,2,94,99045.68177,-565485.5662,1638.234135,15,18.06407789
wujiaochang,Wujiaochang,2,95,99127.81385,-565436.2115,1773.753123,21,68.56192491
wujiaochang,Wujiaochang,2,96,99016.55192,-565379.1708,1842.068309,15,36.50313697
wujiaochang,Wujiaochang,2,97,99163.52118,-565318.5598,1876.139434,17,115.7507108
wujiaochang,Wujiaochang,2,98,98747.40352,-565268.4936,1793.2849,22,293.3583343
wujiaochang,Wujiaochang,2,99,98893.41591,-565217.8887,1767.617309,19,143.0518602
wujiaochang,Wujiaochang,2,100,98622.10778,-565171.5744,1808.47782,22,408.4311826
wujiaochang,Wujiaochang,2,101,98540.50626,-565107.7471,1694.872413,36,483.3058777
wujiaochang,Wujiaochang,2,102,99039.35512,-565066.559,1904.883533,36,17.19258209
wujiaochang,Wujiaochang,2,103,98780.09705,-565015.9803,1777.048459,20,235.8017824
