site,scope,segment,feature_type,target,feature,mean_abs_shap,rank
nanjingdonglu,segment5,5.0,individual,velocity,wall.far,14.430829315500354,6
nanjingdonglu,segment5,5.0,individual,velocity,wall.near,8.384532013836466,7
nanjingdonglu,segment5,5.0,individual,velocity,ceiling.far,8.378796490570416,8
nanjingdonglu,segment5,5.0,individual,velocity,ceiling.near,7.243929993210554,9
nanjingdonglu,segment5,5.0,individual,velocity,person.near,5.3683796703166555,10
nanjingdonglu,segment5,5.0,individual,velocity,windowpane.near,4.06219225326651,11
nanjingdonglu,segment5,5.0,individual,velocity,windowpane.middle,3.409470479131554,12
nanjingdonglu,segment5,5.0,individual,deviation,wall.near,40.18793004301181,1
nanjingdonglu,segment5,5.0,individual,deviation,windowpane.near,29.730726804129457,2
nanjingdonglu,segment5,5.0,individual,deviation,windowpane.middle,26.58149086431408,3
nanjingdonglu,segment5,5.0,individual,deviation,ceiling.far,14.483088347322997,4
nanjingdonglu,segment5,5.0,individual,deviation,wall.middle,11.502107987376595,5
nanjingdonglu,segment5,5.0,individual,deviation,ceiling.near,11.08919671897259,6
nanjingdonglu,segment5,5.0,individual,deviation,wall.far,8.187561962079075,7
nanjingdonglu,segment5,5.0,individual,deviation,person.far,7.713410617783947,8
nanjingdonglu,segment5,5.0,individual,deviation,ceiling.middle,6.589689236588861,9
nanjingdonglu,segment5,5.0,individual,deviation,signboard.far,6.447467872809681,10
nanjingdonglu,segment5,5.0,individual,deviation,floor.middle,5.5201209103939615,11
nanjingdonglu,segment5,5.0,individual,deviation,person.middle,4.782596305933245,12
nanjingdonglu,segment5,5.0,comprehensive,velocity,near_ratio,23.024021864329832,1
nanjingdonglu,segment5,5.0,comprehensive,velocity,clutter_far_degree,18.782506066550983,2
nanjingdonglu,segment5,5.0,comprehensive,velocity,clutter_middle_degree,15.274546997864121,3
nanjingdonglu,segment5,5.0,comprehensive,velocity,visibility_near_ratio,14.402176156643057,4
nanjingdonglu,segment5,5.0,comprehensive,velocity,visibility_middle_ratio,14.119587715825253,5
nanjingdonglu,segment5,5.0,comprehensive,velocity,clutter_near_degree,11.263401444499644,6
nanjingdonglu,segment5,5.0,comprehensive,velocity,far_ratio,10.077388375909983,7
nanjingdonglu,segment5,5.0,comprehensive,velocity,visibility_far_ratio,9.089852747089521,8
nanjingdonglu,segment5,5.0,comprehensive,velocity,middle_ratio,5.647490839130962,9
nanjingdonglu,segment5,5.0,comprehensive,velocity,obstacle_middle_density,3.874185985275138,10
nanjingdonglu,segment5,5.0,comprehensive,velocity,obstacle_near_density,2.8972119558281073,11
nanjingdonglu,segment5,5.0,comprehensive,velocity,obstacle_far_density,2.156666877413128,12
nanjingdonglu,segment5,5.0,comprehensive,deviation,visibility_middle_ratio,26.369440735755934,1
nanjingdonglu,segment5,5.0,comprehensive,deviation,clutter_near_degree,24.284573596635973,2
nanjingdonglu,segment5,5.0,comprehensive,deviation,visibility_near_ratio,23.356846028431953,3
nanjingdonglu,segment5,5.0,comprehensive,deviation,obstacle_middle_density,18.516344874893367,4
nanjingdonglu,segment5,5.0,comprehensive,deviation,visibility_far_ratio,11.575830975328312,5
nanjingdonglu,segment5,5.0,comprehensive,deviation,middle_ratio,11.394259712971818,6
nanjingdonglu,segment5,5.0,comprehensive,deviation,near_ratio,10.824188559630334,7
nanjingdonglu,segment5,5.0,comprehensive,deviation,clutter_far_degree,10.432294881914848,8
nanjingdonglu,segment5,5.0,comprehensive,deviation,far_ratio,8.90170425321001,9
nanjingdonglu,segment5,5.0,comprehensive,deviation,clutter_middle_degree,8.215400626792121,10
nanjingdonglu,segment5,5.0,comprehensive,deviation,obstacle_near_density,5.362803482770671,11
nanjingdonglu,segment5,5.0,comprehensive,deviation,obstacle_far_density,3.0619765178872407,12
nanjingdonglu,segment6,6.0,individual,velocity,floor.far,30.34527815527063,1
nanjingdonglu,segment6,6.0,individual,velocity,wall.middle,23.68415610285565,2
nanjingdonglu,segment6,6.0,individual,velocity,wall.far,21.02503462811606,3
nanjingdonglu,segment6,6.0,individual,velocity,floor.middle,15.528796800953382,4
nanjingdonglu,segment6,6.0,individual,velocity,fence.near,15.08502777380244,5
nanjingdonglu,segment6,6.0,individual,velocity,person.far,11.112714052416855,6
nanjingdonglu,segment6,6.0,individual,velocity,ceiling.far,8.321792334984742,7
nanjingdonglu,segment6,6.0,individual,velocity,floor.near,4.822134942795827,8
nanjingdonglu,segment6,6.0,individual,velocity,ceiling.middle,2.893096465884784,9
nanjingdonglu,segment6,6.0,individual,velocity,person.near,2.825917769345841,10
nanjingdonglu,segment6,6.0,individual,velocity,windowpane.far,2.4741693525375337,11
nanjingdonglu,segment6,6.0,individual,velocity,ceiling.near,2.350453987646909,12
nanjingdonglu,segment6,6.0,individual,deviation,person.far,20.944971462894117,1
nanjingdonglu,segment6,6.0,individual,deviation,wall.far,19.336543721800002,2
nanjingdonglu,segment6,6.0,individual,deviation,fence.far,17.31203254333895,3
nanjingdonglu,segment6,6.0,individual,deviation,fence.near,16.918274194493158,4
nanjingdonglu,segment6,6.0,individual,deviation,ceiling.far,14.841080479692588,5
nanjingdonglu,segment6,6.0,individual,deviation,wall.middle,7.79321037683769,6
nanjingdonglu,segment6,6.0,individual,deviation,ceiling.middle,5.808486024930491,7
nanjingdonglu,segment6,6.0,individual,deviation,floor.far,5.772656597599028,8
nanjingdonglu,segment6,6.0,individual,deviation,floor.middle,5.39338512124185,9
nanjingdonglu,segment6,6.0,individual,deviation,fence.middle,4.253415624656428,10
nanjingdonglu,segment6,6.0,individual,deviation,ceiling.near,3.9678584407585467,11
nanjingdonglu,segment6,6.0,individual,deviation,floor.near,2.931665100927037,12
nanjingdonglu,segment6,6.0,comprehensive,velocity,clutter_middle_degree,22.72535238707619,1
nanjingdonglu,segment6,6.0,comprehensive,velocity,clutter_far_degree,18.581881145603912,2
nanjingdonglu,segment6,6.0,comprehensive,velocity,obstacle_near_density,16.729450407526823,3
nanjingdonglu,segment6,6.0,comprehensive,velocity,obstacle_far_density,15.959471710949458,4
nanjingdonglu,segment6,6.0,comprehensive,velocity,visibility_near_ratio,13.177021325800842,5
nanjingdonglu,segment6,6.0,comprehensive,velocity,obstacle_middle_density,12.90831660771363,6
nanjingdonglu,segment6,6.0,comprehensive,velocity,visibility_far_ratio,10.706443033212564,7
nanjingdonglu,segment6,6.0,comprehensive,velocity,visibility_middle_ratio,5.425062207279555,8
nanjingdonglu,segment6,6.0,comprehensive,velocity,far_ratio,5.39484320337909,9
nanjingdonglu,segment6,6.0,comprehensive,velocity,clutter_near_degree,4.444659020129154,10
nanjingdonglu,segment6,6.0,comprehensive,velocity,middle_ratio,3.760407809704487,11
nanjingdonglu,segment6,6.0,comprehensive,velocity,near_ratio,3.6250029027369486,12
nanjingdonglu,segment6,6.0,comprehensive,deviation,obstacle_far_density,16.74230695952049,1
nanjingdonglu,segment6,6.0,comprehensive,deviation,clutter_far_degree,14.521006601278232,2
nanjingdonglu,segment6,6.0,comprehensive,deviation,obstacle_middle_density,11.33955420908621,3
nanjingdonglu,segment6,6.0,comprehensive,deviation,clutter_near_degree,11.086003059397814,4
nanjingdonglu,segment6,6.0,comprehensive,deviation,visibility_middle_ratio,9.16910925674605,5
nanjingdonglu,segment6,6.0,comprehensive,deviation,visibility_near_ratio,6.701466284530693,6
nanjingdonglu,segment6,6.0,comprehensive,deviation,far_ratio,6.665222470840488,7
nanjingdonglu,segment6,6.0,comprehensive,deviation,obstacle_near_density,6.321096272673228,8
nanjingdonglu,segment6,6.0,comprehensive,deviation,clutter_middle_degree,5.078942092197545,9
nanjingdonglu,segment6,6.0,comprehensive,deviation,visibility_far_ratio,4.53448674644978,10
nanjingdonglu,segment6,6.0,comprehensive,deviation,middle_ratio,3.9003060946110977,11
nanjingdonglu,segment6,6.0,comprehensive,deviation,near_ratio,3.6357728127998477,12
nanjingdonglu,segment7,7.0,individual,velocity,windowpane.middle,17.535944157915985,1
nanjingdonglu,segment7,7.0,individual,velocity,windowpane.near,16.67950232266477,2
