site,scope,feature_type,target,rank_in_selected_set,feature
nanjingdonglu,segment4,comprehensive,deviation,7,visibility_near_ratio
nanjingdonglu,segment4,comprehensive,deviation,8,visibility_middle_ratio
nanjingdonglu,segment4,comprehensive,deviation,9,visibility_far_ratio
nanjingdonglu,segment4,comprehensive,deviation,10,clutter_near_degree
nanjingdonglu,segment4,comprehensive,deviation,11,clutter_middle_degree
nanjingdonglu,segment4,comprehensive,deviation,12,clutter_far_degree
nanjingdonglu,segment5,individual,velocity,1,person.near
nanjingdonglu,segment5,individual,velocity,2,wall.far
nanjingdonglu,segment5,individual,velocity,3,person.far
nanjingdonglu,segment5,individual,velocity,4,ceiling.far
nanjingdonglu,segment5,individual,velocity,5,wall.near
nanjingdonglu,segment5,individual,velocity,6,ceiling.near
nanjingdonglu,segment5,individual,velocity,7,person.middle
nanjingdonglu,segment5,individual,velocity,8,floor.middle
nanjingdonglu,segment5,individual,velocity,9,windowpane.near
nanjingdonglu,segment5,individual,velocity,10,wall.middle
nanjingdonglu,segment5,individual,velocity,11,floor.far
nanjingdonglu,segment5,individual,velocity,12,windowpane.middle
nanjingdonglu,segment5,individual,deviation,1,wall.near
nanjingdonglu,segment5,individual,deviation,2,ceiling.middle
nanjingdonglu,segment5,individual,deviation,3,windowpane.middle
nanjingdonglu,segment5,individual,deviation,4,floor.middle
nanjingdonglu,segment5,individual,deviation,5,person.middle
nanjingdonglu,segment5,individual,deviation,6,ceiling.near
nanjingdonglu,segment5,individual,deviation,7,ceiling.far
nanjingdonglu,segment5,individual,deviation,8,person.far
nanjingdonglu,segment5,individual,deviation,9,wall.middle
nanjingdonglu,segment5,individual,deviation,10,windowpane.near
nanjingdonglu,segment5,individual,deviation,11,wall.far
nanjingdonglu,segment5,individual,deviation,12,signboard.far
nanjingdonglu,segment5,comprehensive,velocity,1,near_ratio
nanjingdonglu,segment5,comprehensive,velocity,2,middle_ratio
nanjingdonglu,segment5,comprehensive,velocity,3,far_ratio
nanjingdonglu,segment5,comprehensive,velocity,4,obstacle_near_density
nanjingdonglu,segment5,comprehensive,velocity,5,obstacle_middle_density
nanjingdonglu,segment5,comprehensive,velocity,6,obstacle_far_density
nanjingdonglu,segment5,comprehensive,velocity,7,visibility_near_ratio
nanjingdonglu,segment5,comprehensive,velocity,8,visibility_middle_ratio
nanjingdonglu,segment5,comprehensive,velocity,9,visibility_far_ratio
nanjingdonglu,segment5,comprehensive,velocity,10,clutter_near_degree
nanjingdonglu,segment5,comprehensive,velocity,11,clutter_middle_degree
nanjingdonglu,segment5,comprehensive,velocity,12,clutter_far_degree
nanjingdonglu,segment5,comprehensive,deviation,1,near_ratio
nanjingdonglu,segment5,comprehensive,deviation,2,middle_ratio
nanjingdonglu,segment5,comprehensive,deviation,3,far_ratio
nanjingdonglu,segment5,comprehensive,deviation,4,obstacle_near_density
nanjingdonglu,segment5,comprehensive,deviation,5,obstacle_middle_density
nanjingdonglu,segment5,comprehensive,deviation,6,obstacle_far_density
nanjingdonglu,segment5,comprehensive,deviation,7,visibility_near_ratio
nanjingdonglu,segment5,comprehensive,deviation,8,visibility_middle_ratio
nanjingdonglu,segment5,comprehensive,deviation,9,visibility_far_ratio
nanjingdonglu,segment5,comprehensive,deviation,10,clutter_near_degree
nanjingdonglu,segment5,comprehensive,deviation,11,clutter_middle_degree
nanjingdonglu,segment5,comprehensive,deviation,12,clutter_far_degree
nanjingdonglu,segment6,individual,velocity,1,ceiling.far
nanjingdonglu,segment6,individual,velocity,2,floor.near
nanjingdonglu,segment6,individual,velocity,3,floor.far
nanjingdonglu,segment6,individual,velocity,4,wall.far
nanjingdonglu,segment6,individual,velocity,5,person.far
nanjingdonglu,segment6,individual,velocity,6,ceiling.near
nanjingdonglu,segment6,individual,velocity,7,floor.middle
nanjingdonglu,segment6,individual,velocity,8,person.near
nanjingdonglu,segment6,individual,velocity,9,fence.near
nanjingdonglu,segment6,individual,velocity,10,wall.middle
nanjingdonglu,segment6,individual,velocity,11,ceiling.middle
nanjingdonglu,segment6,individual,velocity,12,windowpane.far
nanjingdonglu,segment6,individual,deviation,1,floor.middle
nanjingdonglu,segment6,individual,deviation,2,fence.middle
nanjingdonglu,segment6,individual,deviation,3,wall.far
