site,station,scope,segment,feature_type,target,n_total,n_oof,cv_method,cv_r2,cv_mae,cv_rmse,fold_r2_mean,fold_r2_sd,training_r2
wujiaochang,Wujiaochang,segment1,1,comprehensive,velocity,150,150,random_5fold_seed42,0.45724559135500475,42.960186162951665,81.98149719273806,0.5065989464989362,0.11931711820453136,0.7482058181457679
wujiaochang,Wujiaochang,segment1,1,comprehensive,deviation,150,150,random_5fold_seed42,0.3998278457302942,78.55011842640674,109.34551682905375,0.4058421783364919,0.15192230720481142,0.74791570199243
wujiaochang,Wujiaochang,segment2,2,individual,velocity,150,150,random_5fold_seed42,0.9069144349959714,73.8470292137656,95.12625788012225,0.9041672175868886,0.025050619525886525,0.9701048004054741
wujiaochang,Wujiaochang,segment2,2,individual,deviation,150,150,random_5fold_seed42,0.5171465285120829,75.07759402265835,99.1806022796562,0.5118151728247704,0.07853412044759074,0.7749271200522613
wujiaochang,Wujiaochang,segment2,2,comprehensive,velocity,150,150,random_5fold_seed42,0.7036176090187323,129.13165919052122,169.74048613914115,0.6958736385927075,0.06725388875585471,0.8924743306758862
wujiaochang,Wujiaochang,segment2,2,comprehensive,deviation,150,150,random_5fold_seed42,0.31337352263763374,92.12223069473661,118.27129045496297,0.3140230679370482,0.07711829241964742,0.62194638046852
wujiaochang,Wujiaochang,segment3,3,individual,velocity,150,150,random_5fold_seed42,0.702593099861044,39.56400876486407,53.53823964931398,0.6876746865969263,0.07944024226497468,0.8718812854575198
wujiaochang,Wujiaochang,segment3,3,individual,deviation,150,150,random_5fold_seed42,0.549756184077939,42.493772652086655,53.97929776308099,0.5382190451041607,0.05460941156432753,0.7765974177557466
wujiaochang,Wujiaochang,segment3,3,comprehensive,velocity,150,150,random_5fold_seed42,0.6736263453376442,44.311456961201415,56.08492126292719,0.6586019965392315,0.05991231470360232,0.8635297792532456
wujiaochang,Wujiaochang,segment3,3,comprehensive,deviation,150,150,random_5fold_seed42,0.47171850205636245,46.93747787742064,58.470398319745186,0.4537940445738936,0.06350387724293241,0.743680251062272
